[query] info: retrieve seed=text k=200 lexical_only=False
[lexical] trace: ranked chunk file=docs/guides/packing-guide-13.md ordinal=0 rrf=0.01648
[lexical] trace: ranked chunk file=docs/guides/inbound-guide-15.md ordinal=0 rrf=0.01644
[lexical] trace: ranked chunk file=src/picking/line_267.py ordinal=0 rrf=0.01622
[lexical] trace: ranked chunk file=docs/guides/network-overview.md ordinal=0 rrf=0.01613
[lexical] trace: ranked chunk file=src/packing/box_3.py ordinal=0 rrf=0.0161
[lexical] trace: ranked chunk file=docs/runbooks/sweep-shipping-09.md ordinal=0 rrf=0.01596
[lexical] trace: ranked chunk file=src/shipping/pickup_159.py ordinal=0 rrf=0.01593
[lexical] trace: ranked chunk file=tests/shipping/test_pickup_29.py ordinal=0 rrf=0.01591
[lexical] trace: ranked chunk file=docs/guides/packing-guide-03.md ordinal=0 rrf=0.01586
[lexical] trace: ranked chunk file=docs/runbooks/recover-a-stuck-wave.md ordinal=0 rrf=0.0156
[lexical] trace: ranked chunk file=src/packing/insert_33.py ordinal=0 rrf=0.01546
[lexical] trace: ranked chunk file=docs/adr/0058-quarantine-28.md ordinal=0 rrf=0.01542
[lexical] trace: ranked chunk file=docs/adr/0015-reserve-bulk-forward-pick-split.md ordinal=0 rrf=0.01539
[lexical] trace: ranked chunk file=docs/notes/fast-things-close.md ordinal=0 rrf=0.01518
[lexical] trace: ranked chunk file=docs/adr/0030-cap-00.md ordinal=0 rrf=0.01514
[lexical] trace: ranked chunk file=docs/api/shipping-parcel-04.md ordinal=0 rrf=0.01511
[lexical] trace: ranked chunk file=docs/adr/0043-lock-13.md ordinal=0 rrf=0.01503
[lexical] trace: ranked chunk file=docs/runbooks/requeue-slotting-06.md ordinal=0 rrf=0.01473
[lexical] trace: ranked chunk file=docs/runbooks/recover-inbound-20.md ordinal=0 rrf=0.01473
[lexical] trace: ranked chunk file=docs/runbooks/reslot-picking-07.md ordinal=0 rrf=0.01471
[lexical] trace: ranked chunk file=docs/meetings/2025-03-27-002.md ordinal=0 rrf=0.01462
