run,arm,version,corpus,path,query_id,class,repeat,warmup,ms
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q004,rare,5,0,63.920
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q004,rare,6,0,52.122
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q004,rare,6,0,77.913
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q004,rare,6,0,63.048
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q004,rare,7,0,53.407
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q004,rare,7,0,78.913
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q004,rare,7,0,62.913
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q004,rare,8,0,51.950
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q004,rare,8,0,78.900
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q004,rare,8,0,63.251
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q004,rare,9,0,51.818
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q004,rare,9,0,79.479
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q004,rare,9,0,63.338
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q004,rare,10,0,52.311
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q004,rare,10,0,78.780
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q004,rare,10,0,62.791
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q004,rare,11,0,51.992
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q004,rare,11,0,78.948
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q004,rare,11,0,62.314
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q004,rare,12,0,53.371
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q004,rare,12,0,77.011
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q004,rare,12,0,63.539
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q005,rare,0,1,51.584
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q005,rare,0,1,77.390
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q005,rare,0,1,62.557
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q005,rare,1,1,53.054
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q005,rare,1,1,77.222
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q005,rare,1,1,63.865
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q005,rare,2,1,52.184
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q005,rare,2,1,78.769
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q005,rare,2,1,63.334
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q005,rare,3,0,52.567
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q005,rare,3,0,76.875
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q005,rare,3,0,62.828
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q005,rare,4,0,53.043
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q005,rare,4,0,78.666
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q005,rare,4,0,63.275
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q005,rare,5,0,52.571
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q005,rare,5,0,76.813
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q005,rare,5,0,62.602
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q005,rare,6,0,52.362
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q005,rare,6,0,78.891
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q005,rare,6,0,62.998
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q005,rare,7,0,53.228
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q005,rare,7,0,77.430
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q005,rare,7,0,62.500
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q005,rare,8,0,52.692
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q005,rare,8,0,78.899
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q005,rare,8,0,63.325
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q005,rare,9,0,51.537
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q005,rare,9,0,77.359
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q005,rare,9,0,62.858
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q005,rare,10,0,53.703
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q005,rare,10,0,77.339
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q005,rare,10,0,62.627
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q005,rare,11,0,51.990
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q005,rare,11,0,79.374
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q005,rare,11,0,62.513
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q005,rare,12,0,51.526
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q005,rare,12,0,77.295
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q005,rare,12,0,62.989
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q006,rare,0,1,53.069
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q006,rare,0,1,79.199
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q006,rare,0,1,63.330
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q006,rare,1,1,52.882
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q006,rare,1,1,78.860
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q006,rare,1,1,62.332
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q006,rare,2,1,51.438
