q,n_top5,n_tied_rows,order_differs,declared_top5,id_top5
config,5,0,0,file:docs/runbook-gateway-rollback.md|file:docs/guide-oncall-rota.md|file:docs/adr-0019-calder-gateway.md|file:docs/reference-calderctl.md|file:docs/guide-onboarding.md,file:docs/runbook-gateway-rollback.md|file:docs/guide-oncall-rota.md|file:docs/adr-0019-calder-gateway.md|file:docs/reference-calderctl.md|file:docs/guide-onboarding.md
dai,5,0,0,file:docs/policy-data-retention.md|file:docs/reference-deployment-tiers.md|file:docs/guide-onboarding.md|file:docs/adr-0019-calder-gateway.md|file:docs/postmortem-checkout-outage.md,file:docs/policy-data-retention.md|file:docs/reference-deployment-tiers.md|file:docs/guide-onboarding.md|file:docs/adr-0019-calder-gateway.md|file:docs/postmortem-checkout-outage.md
doe,5,0,0,file:docs/reference-deployment-tiers.md|file:docs/guide-onboarding.md|file:docs/postmortem-checkout-outage.md|file:docs/runbook-gateway-rollback.md|file:docs/guide-oncall-rota.md,file:docs/reference-deployment-tiers.md|file:docs/guide-onboarding.md|file:docs/postmortem-checkout-outage.md|file:docs/runbook-gateway-rollback.md|file:docs/guide-oncall-rota.md
group,5,0,0,file:docs/adr-0007-helix-mesh.md|file:docs/guide-oncall-rota.md|file:docs/policy-data-retention.md|file:docs/reference-deployment-tiers.md|file:docs/adr-0019-calder-gateway.md,file:docs/adr-0007-helix-mesh.md|file:docs/guide-oncall-rota.md|file:docs/policy-data-retention.md|file:docs/reference-deployment-tiers.md|file:docs/adr-0019-calder-gateway.md
guid,5,0,0,file:docs/guide-onboarding.md|file:docs/guide-oncall-rota.md|file:docs/adr-0007-helix-mesh.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md,file:docs/guide-onboarding.md|file:docs/guide-oncall-rota.md|file:docs/adr-0007-helix-mesh.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md
hour,5,0,0,file:docs/reference-deployment-tiers.md|file:docs/adr-0007-helix-mesh.md|file:docs/guide-oncall-rota.md|file:docs/adr-0019-calder-gateway.md|file:docs/reference-calderctl.md,file:docs/reference-deployment-tiers.md|file:docs/adr-0007-helix-mesh.md|file:docs/guide-oncall-rota.md|file:docs/adr-0019-calder-gateway.md|file:docs/reference-calderctl.md
most,5,0,0,file:docs/policy-data-retention.md|file:docs/guide-onboarding.md|file:docs/adr-0019-calder-gateway.md|file:docs/reference-calderctl.md|file:docs/guide-oncall-rota.md,file:docs/policy-data-retention.md|file:docs/guide-onboarding.md|file:docs/adr-0019-calder-gateway.md|file:docs/reference-calderctl.md|file:docs/guide-oncall-rota.md
oncal,5,0,0,file:docs/guide-oncall-rota.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/reference-deployment-tiers.md|file:docs/guide-onboarding.md,file:docs/guide-oncall-rota.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/reference-deployment-tiers.md|file:docs/guide-onboarding.md
outag,5,0,0,file:docs/guide-onboarding.md|file:docs/guide-oncall-rota.md|file:docs/reference-deployment-tiers.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0019-calder-gateway.md,file:docs/guide-onboarding.md|file:docs/guide-oncall-rota.md|file:docs/reference-deployment-tiers.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0019-calder-gateway.md
page,5,0,0,file:docs/guide-oncall-rota.md|file:docs/reference-deployment-tiers.md|file:docs/guide-onboarding.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md,file:docs/guide-oncall-rota.md|file:docs/reference-deployment-tiers.md|file:docs/guide-onboarding.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md
path,5,0,0,file:docs/reference-deployment-tiers.md|file:docs/adr-0007-helix-mesh.md|file:docs/guide-oncall-rota.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md,file:docs/reference-deployment-tiers.md|file:docs/adr-0007-helix-mesh.md|file:docs/guide-oncall-rota.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md
pod,5,0,0,file:docs/runbook-mesh-rollback-legacy.md|file:docs/postmortem-checkout-outage.md|file:docs/adr-0019-calder-gateway.md|file:docs/runbook-gateway-rollback.md|file:docs/reference-calderctl.md,file:docs/runbook-mesh-rollback-legacy.md|file:docs/postmortem-checkout-outage.md|file:docs/adr-0019-calder-gateway.md|file:docs/runbook-gateway-rollback.md|file:docs/reference-calderctl.md
procedur,5,0,0,file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/reference-calderctl.md|file:docs/reference-deployment-tiers.md|file:docs/adr-0019-calder-gateway.md,file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/reference-calderctl.md|file:docs/reference-deployment-tiers.md|file:docs/adr-0019-calder-gateway.md
proxi,5,0,0,file:docs/adr-0019-calder-gateway.md|file:docs/runbook-gateway-rollback.md|file:docs/guide-onboarding.md|file:docs/guide-oncall-rota.md|file:docs/runbook-mesh-rollback-legacy.md,file:docs/adr-0019-calder-gateway.md|file:docs/runbook-gateway-rollback.md|file:docs/guide-onboarding.md|file:docs/guide-oncall-rota.md|file:docs/runbook-mesh-rollback-legacy.md
reject,5,0,0,file:docs/adr-0019-calder-gateway.md|file:docs/adr-0007-helix-mesh.md|file:docs/postmortem-checkout-outage.md|file:docs/reference-deployment-tiers.md|file:docs/runbook-gateway-rollback.md,file:docs/adr-0019-calder-gateway.md|file:docs/adr-0007-helix-mesh.md|file:docs/postmortem-checkout-outage.md|file:docs/reference-deployment-tiers.md|file:docs/runbook-gateway-rollback.md
request,5,0,0,file:docs/policy-data-retention.md|file:docs/adr-0007-helix-mesh.md|file:docs/reference-deployment-tiers.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md,file:docs/policy-data-retention.md|file:docs/adr-0007-helix-mesh.md|file:docs/reference-deployment-tiers.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md
retri,5,0,0,file:docs/adr-0007-helix-mesh.md|file:docs/guide-onboarding.md|file:docs/adr-0019-calder-gateway.md|file:docs/postmortem-checkout-outage.md|file:docs/runbook-gateway-rollback.md,file:docs/adr-0007-helix-mesh.md|file:docs/guide-onboarding.md|file:docs/adr-0019-calder-gateway.md|file:docs/postmortem-checkout-outage.md|file:docs/runbook-gateway-rollback.md
review,5,0,0,file:docs/reference-deployment-tiers.md|file:docs/adr-0007-helix-mesh.md|file:docs/reference-calderctl.md|file:docs/guide-onboarding.md|file:docs/policy-data-retention.md,file:docs/reference-deployment-tiers.md|file:docs/adr-0007-helix-mesh.md|file:docs/reference-calderctl.md|file:docs/guide-onboarding.md|file:docs/policy-data-retention.md
rota,5,0,0,file:docs/guide-oncall-rota.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/guide-onboarding.md|file:docs/reference-deployment-tiers.md,file:docs/guide-oncall-rota.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/guide-onboarding.md|file:docs/reference-deployment-tiers.md
s,5,0,0,file:docs/reference-deployment-tiers.md|file:docs/guide-onboarding.md|file:docs/guide-oncall-rota.md|file:docs/adr-0019-calder-gateway.md|file:docs/postmortem-checkout-outage.md,file:docs/reference-deployment-tiers.md|file:docs/guide-onboarding.md|file:docs/guide-oncall-rota.md|file:docs/adr-0019-calder-gateway.md|file:docs/postmortem-checkout-outage.md
see,5,0,0,file:docs/guide-onboarding.md|file:docs/reference-deployment-tiers.md|file:docs/policy-data-retention.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md,file:docs/guide-onboarding.md|file:docs/reference-deployment-tiers.md|file:docs/policy-data-retention.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md
state,5,0,0,file:docs/guide-onboarding.md|file:docs/runbook-gateway-rollback.md|file:docs/policy-data-retention.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0019-calder-gateway.md,file:docs/guide-onboarding.md|file:docs/runbook-gateway-rollback.md|file:docs/policy-data-retention.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0019-calder-gateway.md
team,5,0,0,file:docs/guide-oncall-rota.md|file:docs/adr-0007-helix-mesh.md|file:docs/reference-deployment-tiers.md|file:docs/guide-onboarding.md|file:docs/policy-data-retention.md,file:docs/guide-oncall-rota.md|file:docs/adr-0007-helix-mesh.md|file:docs/reference-deployment-tiers.md|file:docs/guide-onboarding.md|file:docs/policy-data-retention.md
time,5,0,0,file:docs/guide-oncall-rota.md|file:docs/runbook-gateway-rollback.md|file:docs/adr-0019-calder-gateway.md|file:docs/reference-calderctl.md|file:docs/postmortem-checkout-outage.md,file:docs/guide-oncall-rota.md|file:docs/runbook-gateway-rollback.md|file:docs/adr-0019-calder-gateway.md|file:docs/reference-calderctl.md|file:docs/postmortem-checkout-outage.md
14,5,0,0,file:docs/postmortem-checkout-outage.md|file:docs/reference-deployment-tiers.md|file:docs/adr-0019-calder-gateway.md|file:docs/guide-onboarding.md|file:docs/guide-oncall-rota.md,file:docs/postmortem-checkout-outage.md|file:docs/reference-deployment-tiers.md|file:docs/adr-0019-calder-gateway.md|file:docs/guide-onboarding.md|file:docs/guide-oncall-rota.md
400,5,0,0,file:docs/runbook-gateway-rollback.md|file:docs/adr-0007-helix-mesh.md|file:docs/policy-data-retention.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0019-calder-gateway.md,file:docs/runbook-gateway-rollback.md|file:docs/adr-0007-helix-mesh.md|file:docs/policy-data-retention.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0019-calder-gateway.md
5,5,0,0,file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/postmortem-checkout-outage.md|file:docs/guide-onboarding.md|file:docs/policy-data-retention.md,file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/postmortem-checkout-outage.md|file:docs/guide-onboarding.md|file:docs/policy-data-retention.md
