query,n_docs,n_scores_differing,top5_same_exact,top5_same_round9
"serv",110,0,1,1
"sha1",7,0,1,1
"shapbot",2,0,1,1
"shard_path",487,352,1,1
"sharepoint",17,0,1,1
"sharper",12,0,1,1
"shortcut",5,0,1,1
"signal",179,0,1,1
"sii",2,0,1,1
"simul",15,0,1,1
"skew",5,0,1,1
"skipnotic",0,0,1,1
"smoke_urls",202,125,1,1
"smucker",1,0,1,1
"snake_case",237,0,1,1
"sniff",6,0,1,1
"snippet",8,0,1,1
"soffer",2,0,1,1
"sound",25,0,1,1
"source_sha",397,102,1,1
"spine_diag",19,0,1,1
"sqlite",35,29,1,1
"st_size",232,0,1,1
"stabil",30,0,1,1
"stage",77,0,1,1
"standardis",0,0,1,1
"stanford",1,0,1,1
"stderr",67,0,1,1
"stdin",11,0,1,1
"stretch",10,0,1,1
"submiss",1,0,1,1
"substant",18,0,1,1
"subtre",0,0,1,1
"succe",0,0,1,1
"suffix",15,0,1,1
"supersess",142,0,1,1
"suppos",0,0,1,1
"suscept",11,0,1,1
"suspici",3,0,1,1
"svore",1,0,1,1
"swap",28,0,1,1
"sweepabl",1,0,1,1
"synchronis",0,0,1,1
"t00",1,0,1,1
"t1",65,0,1,1
"t16",0,0,1,1
"target_first",471,103,1,1
"tast",11,0,1,1
"tavili",2,0,1,1
"taylor",4,0,1,1
"teach",24,0,1,1
"tech",8,0,1,1
"ted",1,0,1,1
"tenant",19,0,1,1
"tesseract",19,0,1,1
"test_adr_owns_consistency",681,0,1,1
"test_no_shadowed_submodules",597,0,1,1
"test_provenance",434,0,1,1
"test_run",590,0,1,1
"test_schemas",445,0,1,1
"test_setup",440,0,1,1
"test_setup_docs",667,0,1,1
"test_the_graph_lane_does_not_move_ask",653,31,1,1
"test_the_output_schema_carries_the_sixth_verdict",601,0,1,1
"test_tune",445,0,1,1
"test_unreadable_document",561,0,1,1
"test_weighted_bound",497,0,1,1
"tests_e2e",415,0,1,1
"tgz",1,0,1,1
"than",431,0,1,1
"thinli",1,0,1,1
"thought",4,0,1,1
"throw",13,0,1,1
"thrown",7,0,1,1
"time",329,0,1,1
"timeout",36,0,1,1
"timestamp",51,0,1,1
"told",32,0,1,1
"top",284,0,1,1
"topic",71,0,1,1
"tr",4,0,1,1
"transcrib",3,0,1,1
"treat",101,0,1,1
"trec",18,0,1,1
"trial",4,0,1,1
"ttl",53,0,1,1
"twice",109,0,1,1
"uid",1,0,1,1
"uncach",8,0,1,1
"uncalibr",2,0,1,1
"underserv",1,0,1,1
"unescap",1,0,1,1
"unfinish",3,0,1,1
"unicodeencodeerror",5,0,1,1
"uninstal",0,0,1,1
"uninterpret",1,0,1,1
"univers",0,0,1,1
"unlazi",1,0,1,1
"unlink",8,0,1,1
"unmut",1,0,1,1
"unnumb",2,0,1,1
"unopinion",1,0,1,1
"unrecord",5,0,1,1
"unregist",14,0,1,1
"unremark",1,0,1,1
"unsay",0,0,1,1
"unseen",11,0,1,1
"unsolv",4,0,1,1
"unstat",7,0,1,1
"untun",3,0,1,1
"uri",2,0,1,1
"urlopen",2,0,1,1
"urls_file",509,102,1,1
"userpromptsubmit",18,0,1,1
