run,arm,version,corpus,path,query_id,class,repeat,warmup,ms
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q005,rare,2,0,2194.691
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q005,rare,2,0,26.120
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q005,rare,3,0,1957.540
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q005,rare,3,0,1916.222
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q005,rare,3,0,2216.019
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q005,rare,3,0,26.364
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q006,rare,0,1,1981.988
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q006,rare,0,1,1920.661
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q006,rare,0,1,2198.679
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q006,rare,0,1,26.491
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q006,rare,1,0,1972.876
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q006,rare,1,0,1921.443
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q006,rare,1,0,2189.258
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q006,rare,1,0,26.525
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q006,rare,2,0,1965.503
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q006,rare,2,0,1923.634
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q006,rare,2,0,2210.093
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q006,rare,2,0,26.289
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q006,rare,3,0,1958.583
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q006,rare,3,0,1937.109
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q006,rare,3,0,2252.954
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q006,rare,3,0,26.687
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q007,rare,0,1,1957.878
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q007,rare,0,1,1917.277
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q007,rare,0,1,2218.921
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q007,rare,0,1,26.571
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q007,rare,1,0,1954.104
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q007,rare,1,0,1918.376
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q007,rare,1,0,2195.814
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q007,rare,1,0,26.582
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q007,rare,2,0,1968.105
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q007,rare,2,0,1929.461
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q007,rare,2,0,2191.225
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q007,rare,2,0,26.555
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q007,rare,3,0,1964.099
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q007,rare,3,0,1919.865
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q007,rare,3,0,2198.471
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q007,rare,3,0,26.734
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q008,rare,0,1,1963.359
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q008,rare,0,1,1924.058
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q008,rare,0,1,2199.417
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q008,rare,0,1,26.503
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q008,rare,1,0,1983.775
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q008,rare,1,0,1921.445
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q008,rare,1,0,2233.064
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q008,rare,1,0,26.839
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q008,rare,2,0,1970.884
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q008,rare,2,0,1938.984
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q008,rare,2,0,2236.239
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q008,rare,2,0,26.640
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q008,rare,3,0,1969.977
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q008,rare,3,0,1931.158
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q008,rare,3,0,2192.429
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q008,rare,3,0,26.544
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q009,rare,0,1,1970.362
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q009,rare,0,1,1934.240
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q009,rare,0,1,2200.493
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q009,rare,0,1,26.381
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q009,rare,1,0,1972.539
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q009,rare,1,0,1927.983
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q009,rare,1,0,2199.984
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q009,rare,1,0,26.496
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q009,rare,2,0,1959.879
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q009,rare,2,0,1918.323
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q009,rare,2,0,2202.762
